Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost,Tier,Competition,Protocol Fit,Priority Score,Notes
Unbound Gravel 200,Emporia KS,USA,Midwest,Late May,200,11500,4000+,$250-400,1,HIGH,Heat/Ultra,7,Saturated market but flagship
Unbound Gravel 100,Emporia KS,USA,Midwest,Late May,100,5500,1500+,$200-350,1,HIGH,Standard,6,Less competition than 200
Unbound Gravel XL,Emporia KS,USA,Midwest,Late May,350,18000,200,$400+,1,MEDIUM,Ultra,8,Niche ultra market
Mid South,Stillwater OK,USA,Midwest,Mid-March,100,4500,2500+,$100-200,1,LOW,Mud/Variable,10,CRITICAL PRIORITY - Red clay chaos
Barry-Roubaix,Hastings MI,USA,Midwest,Mid-April,100/62/36/22,2500,4500+,$60-150,1,LOW,Mud/Cold,9,World's largest gravel race
Gravel Worlds,Lincoln NE,USA,Midwest,Late August,150/100/75/50,6000,1000+,$85-200,1,LOW,Heat/Ultra,9,$100K prize purse
Big Sugar,Bentonville AR,USA,Midwest,Mid-October,100/50,8000,3000+,$125-225,1,LOW,Technical,10,LTGP finale - huge opportunity
Land Run 100,Stillwater OK,USA,Midwest,March,100,5000,1500+,$100-175,2,LOW,Mud,8,Mid South companion event
Garfield Gravel,Pomeroy WA,USA,Midwest,June,108/62,7000,300+,$75-125,3,NONE,Standard,7,Growing PNW event
Filthy 50,Lanesboro MN,USA,Midwest,Early October,50,4500,1000,$75-100,2,NONE,Standard,8,Bluff country classic
Heck of the North,Duluth MN,USA,Midwest,Late September,50/100,3500,500-800,$65-100,2,NONE,Cold,7,Snow risk adds chaos
Almanzo 100,Spring Valley MN,USA,Midwest,May,100/50,6000,800+,$80-120,2,NONE,Standard,8,OG gravel event
Spotted Horse Ultra,Iowa,USA,Midwest,Mid-October,100+,5000,500+,$100-150,2,NONE,Ultra,7,Growing ultra scene
Sunrise to Sunburn,South Dakota,USA,Midwest,June,100,4000,300+,$75-100,3,NONE,Heat,6,Prairie gravel
Ocheyedan Gravel Classic,Iowa,USA,Midwest,June,100/62,3000,400+,$60-90,3,NONE,Standard,6,Grassroots Midwest
SBT GRVL Black,Steamboat CO,USA,Mountain West,Late June,140,10000,1500,$200-275,1,MEDIUM,Altitude,8,CTS partnership exists
SBT GRVL Blue,Steamboat CO,USA,Mountain West,Late June,100,6500,800,$175-250,1,MEDIUM,Altitude,7,
SBT GRVL Green,Steamboat CO,USA,Mountain West,Late June,45,3500,450,$125-175,2,LOW,Altitude,7,
Crusher in the Tushar,Beaver UT,USA,Mountain West,Mid-July,69,10000,700,$150-200,1,NONE,Altitude,10,CRITICAL - 11500ft max elevation
Rebecca's Private Idaho,Ketchum ID,USA,Mountain West,Labor Day,103/56,9500,1000+,$150-250,1,NONE,Altitude,10,CRITICAL - Sun Valley bucket list
Leadville Trail 100 MTB,Leadville CO,USA,Mountain West,Mid-August,100,12000,1500+,$350-400,1,MEDIUM,Altitude,7,MTB but gravel-adjacent
BWR Utah/Cedar City,Cedar City UT,USA,Mountain West,Late May,137/70,6900,600-1000,$175-250,2,MEDIUM,Altitude,7,BWR franchise
BWR Montana,Whitefish MT,USA,Mountain West,Late June,130/70,8000,500-800,$175-250,2,MEDIUM,Standard,7,
Rad Dirt Fest,Trinidad CO,USA,Mountain West,Late September,100+,10600,1000+,$125-175,2,NONE,Altitude,9,8900ft base
Gunni Grinder,Gunnison CO,USA,Mountain West,Early September,150/60/30,10000,300-500,$100-150,2,NONE,Altitude,8,Technical alpine
The Rad,Trinidad CO,USA,Mountain West,September,100,10600,500+,$100-150,2,NONE,Altitude,8,Colorado climbing
Ned Gravel,Nederland CO,USA,Mountain West,August,50/30,5000,400+,$75-100,3,NONE,Altitude,7,Local CO event
Rule of Three,Black Hills SD,USA,Mountain West,September,100/62,7500,300+,$100-125,3,NONE,Standard,6,
Ochoco Gravel,Prineville OR,USA,Pacific NW,June,134/60,9600,300+,$100-150,2,NONE,Standard,7,Oregon high desert
Oregon Trail Gravel,Oregon,USA,Pacific NW,Late June,Multi-day stage,Varies,300,$400+,2,NONE,Stage Race,8,5-day stage race
Cascadia Gravel,Washington,USA,Pacific NW,August,100/50,6000,400+,$100-125,2,NONE,Standard,7,
Kettle Mettle,BC Canada,USA,Pacific NW,Late June,100/50,7500,300-500,$100-150,2,NONE,Standard,7,Cross-border
Lost and Found,NorCal,USA,California,Mid-June,100/50,8000,500+,$125-175,2,LOW,Altitude,8,Sierra terrain
BWR California,Del Mar CA,USA,California,Late April,137/70/36,9000,2800+,$175-250,1,HIGH,Technical,6,Saturated but flagship
Sea Otter Gravel,Monterey CA,USA,California,April,50,4000,700+,$100-175,2,MEDIUM,Standard,7,LTGP opener
Mammoth Tuff,Mammoth CA,USA,California,Mid-September,90/50,7500,300-500,$125-175,2,LOW,Altitude/Heat,8,7880ft base - UCI event
Rock Cobbler,Bakersfield CA,USA,California,February,100/50,6000,500+,$100-150,2,NONE,Technical,8,Multi-terrain chaos
Grinduro California,NorCal,USA,California,Mid-September,62,6000,300-500,$150-200,2,LOW,Technical,7,Enduro format
Grasshopper Adventure Series,NorCal,USA,California,Jan-May,Varies,Varies,500+/race,$50-75/race,2,NONE,Standard,8,5-race series
Belgian Waffle Ride San Diego,San Diego CA,USA,California,April,137,9000,2000+,$175-250,1,HIGH,Technical,5,Separate from main BWR
Low Gap,NorCal,USA,California,March,60,7500,300+,$75-100,3,NONE,Technical,6,
Rasputitsa,VT,USA,Northeast,Mid-April,40/25,5500,1000+,$75-125,2,NONE,Mud/Cold,8,Spring mud classic
Vermont Overland,VT,USA,Northeast,Late August,50/35,7000,1000,$100-150,2,NONE,Standard,8,
Rooted Vermont,VT,USA,Northeast,August,80/40,8000,500+,$125-175,2,NONE,Standard,7,
D2R2,MA,USA,Northeast,Late August,180/115/100,14000,2000+,$75-125,1,NONE,Climbing,9,Legendary climbing
Battenkill,NY,USA,Northeast,May,62/40,5500,500+,$75-100,2,NONE,Standard,7,
Farmer's Daughter,NY,USA,Northeast,May,55,6000,1000,$75-100,2,NONE,Standard,7,
